v,vw,o,c,h,l,t,n
162706686.0,158.6897,160.02,161.62,162.3,154.7,1643000400000,1632710
115777137.0,159.4274,158.98,159.78,162.76,157.02,1643086800000,1008306
108275307.0,161.41,163.5,159.69,164.3894,157.82,1643173200000,1017706
121954638.0,161.2969,162.45,159.22,163.84,158.28,1643259600000,1161003
179435660.0,167.3083,165.71,170.33,170.35,162.8,1643346000000,1518049
115522090.0,173.1568,170.16,174.78,175.0,169.51,1643605200000,933480
85595911.0,173.7061,174.01,174.61,174.84,172.31,1643691600000,735250
84914158.0,174.9413,174.745,175.84,175.88,173.33,1643778000000,676308
89418074.0,174.3835,174.48,172.9,176.2399,172.12,1643864400000,724838
82446700.0,172.3165,171.68,172.39,174.1,170.68,1643950800000,702966
77251204.0,172.4426,172.86,171.66,173.9458,170.95,1644210000000,571410
74829217.0,173.8127,171.73,174.83,175.35,171.43,1644296400000,634268
71204538.0,175.8287,176.05,176.28,176.65,174.9,1644382800000,573996
90715899.0,173.5408,174.14,172.12,175.48,171.55,1644469200000,761963
98490687.0,170.1997,172.33,168.64,173.08,168.04,1644555600000,815714
86185530.0,168.3917,167.37,168.88,169.58,166.56,1644814800000,757491
64286317.0,171.6596,170.97,172.79,172.95,170.25,1644901200000,562851
61139697.0,171.6489,171.85,172.55,173.34,170.05,1644987600000,543032
69589344.0,170.1812,171.03,168.88,171.91,168.47,1645074000000,584118
82772674.0,167.7969,169.82,167.3,170.5413,166.19,1645160400000,687677
91148358.0,164.5551,164.98,164.32,166.69,162.15,1645506000000,897217
90009247.0,162.1577,165.54,160.07,166.15,159.75,1645592400000,820313
141147540.0,158.0144,152.58,162.74,162.85,152.0,1645678800000,1383829
91974222.0,163.7895,163.84,164.85,165.12,160.8738,1645765200000,812155
95056629.0,164.268,163.06,165.12,165.42,162.43,1646024400000,791485
83468865.0,164.16,164.695,163.2,166.6,161.97,1646110800000,749653
79724750.0,165.8095,164.39,166.56,167.36,162.95,1646197200000,668260
76678441.0,166.918,168.47,166.23,168.91,165.55,1646283600000,651764
83819592.0,163.398,164.49,163.17,165.55,162.1,1646370000000,743696
96418845.0,161.4026,163.36,159.3,165.02,159.04,1646629200000,847057
131139480.0,158.7737,158.82,157.44,162.88,155.8,1646715600000,1139149
91445405.0,161.9446,161.475,162.95,163.41,159.41,1646802000000,733685
105342033.0,158.0284,160.2,158.52,160.39,155.98,1646888400000,882861
96917302.0,156.1598,158.93,154.73,159.28,154.5,1646974800000,880727
108712111.0,151.683,151.45,150.62,154.12,150.1,1647230400000,969357
92964302.0,153.4741,150.9,155.09,155.57,150.38,1647316800000,719955
102300157.0,157.6528,157.05,159.59,160.0,154.46,1647403200000,833066
75615376.0,159.4208,158.61,160.62,161.0,157.63,1647489600000,629003
122610172.0,162.5971,160.51,163.98,164.48,159.76,1647576000000,713986
95811352.0,164.7355,163.51,165.38,166.35,163.015,1647835200000,721125
81532007.0,168.2308,165.51,168.82,169.42,164.91,1647921600000,638943
98062674.0,170.7915,167.99,170.21,172.64,167.65,1648008000000,784481
90131418.0,172.2655,171.06,174.07,174.14,170.21,1648094400000,688102
80529356.0,174.0232,173.88,174.72,175.28,172.75,1648180800000,663600
90371916.0,174.3754,172.17,175.6,175.73,172.0,1648440000000,716107
99459940.0,177.8604,176.69,178.96,179.01,176.34,1648526400000,775943
91340654.0,178.1191,178.55,177.77,179.61,176.7,1648612800000,695863
103049285.0,175.8765,177.84,174.61,178.03,174.4,1648699200000,716272
78251328.0,173.4143,174.03,174.31,174.88,171.94,1648785600000,661160
76545983.0,177.4855,174.57,178.44,178.49,174.44,1649044800000,630374
73401786.0,175.9791,177.5,175.06,178.3,174.415,1649131200000,621541
89058782.0,171.7887,172.36,171.83,173.63,170.13,1649217600000,769485
77594650.0,171.8049,171.16,172.14,173.36,169.85,1649304000000,628352
76534208.0,170.5154,171.78,170.09,171.78,169.2,1649390400000,614848
72246706.0,166.692,168.71,165.75,169.03,165.5,1649649600000,677210
79265181.0,168.0916,168.02,167.66,169.87,166.64,1649736000000,678461
70618925.0,169.6805,167.39,170.4,171.04,166.77,1649822400000,558072
75069376.0,167.2264,170.62,165.29,171.27,165.04,1649908800000,596848
69023941.0,164.9284,163.92,165.07,166.5984,163.57,1650254400000,576791
67723833.0,166.5491,165.02,167.4,167.82,163.91,1650340800000,548306
67929814.0,167.3492,168.76,167.23,168.88,166.1,1650427200000,595063
87227768.0,168.8014,168.91,166.42,171.53,165.91,1650513600000,752017
84875424.0,164.2289,166.46,161.79,167.8699,161.5,1650600000000,730001
96017376.0,160.7032,161.12,162.88,163.17,158.46,1650859200000,925124
95595226.0,158.6074,162.25,156.8,162.34,156.72,1650945600000,899965
88063191.0,157.4448,155.91,156.57,159.79,155.38,1651032000000,777860
130149192.0,161.8622,159.25,163.64,164.515,158.93,1651118400000,1126019
131747495.0,160.7133,161.84,157.65,166.2,157.25,1651204800000,1032218
123050000.0,156.0357,156.71,157.96,158.23,153.27,1651464000000,1154671
88966526.0,158.8014,158.15,159.48,160.71,156.32,1651550400000,706626
108206503.0,162.4245,159.67,166.02,166.48,159.26,1651636800000,873681
130419230.0,158.143,163.85,156.77,164.08,154.95,1651723200000,1164746
115494647.0,157.3298,156.01,157.28,159.44,154.18,1651809600000,1023008
131577921.0,153.1029,154.925,152.06,155.83,151.49,1652068800000,1103707
115366736.0,154.8376,155.52,154.51,156.74,152.93,1652155200000,988257
