v,vw,o,c,h,l,t,n
34191535.0,56.2163,56.16,56.9,57.0,54.87,1643000400000,239012
25156433.0,55.9777,56.09,56.11,56.6851,55.07,1643086800000,178176
28632685.0,55.6788,56.11,55.33,56.45,54.855,1643173200000,199569
25967391.0,55.1185,55.51,54.62,56.53,54.4,1643259600000,184724
30909080.0,54.7472,54.5,55.61,55.66,53.445,1643346000000,181712
29925295.0,55.5869,55.43,55.67,55.86,54.87,1643605200000,159646
22438472.0,55.2505,55.45,55.37,55.5,54.735,1643691600000,140727
23316715.0,55.8269,55.225,56.17,56.315,55.17,1643778000000,137826
19260467.0,55.441,55.87,55.2,56.15,55.06,1643864400000,121497
19625873.0,55.1225,54.8935,55.15,55.62,54.39,1643950800000,131660
14450184.0,55.1934,55.33,55.17,55.53,54.695,1644210000000,91580
15219936.0,55.1961,55.06,55.34,55.49,54.71,1644296400000,100285
19136723.0,56.1395,55.82,56.29,56.38,55.4826,1644382800000,114694
19730640.0,55.1974,55.24,54.87,56.025,54.74,1644469200000,131258
20132500.0,54.293,54.87,53.9,55.09,53.77,1644555600000,137256
21868416.0,53.1833,53.41,53.18,53.65,52.7,1644814800000,152649
17680362.0,54.0838,53.7159,54.27,54.3,53.64,1644901200000,116453
20388673.0,54.2355,54.13,54.25,54.44,53.385,1644987600000,162565
32860732.0,56.1685,55.5,55.77,57.06,55.4,1645074000000,214447
35626154.0,56.8745,55.46,57.21,57.69,55.38,1645160400000,211571
25188344.0,56.403,56.93,56.3,57.14,55.735,1645506000000,175326
22033657.0,55.174,56.61,54.44,56.99,54.37,1645592400000,162765
27739339.0,54.0409,54.07,54.73,54.83,53.21,1645678800000,214439
18963683.0,55.7847,54.98,56.04,56.22,54.49,1645765200000,141809
23868699.0,55.5533,55.41,55.77,56.0,54.75,1646024400000,135898
17799613.0,54.791,55.53,54.62,55.85,54.26,1646110800000,136678
18660045.0,55.9525,54.77,56.15,56.38,54.71,1646197200000,144973
16794589.0,56.2193,56.74,56.07,57.0,55.835,1646283600000,130802
16731553.0,56.2343,55.67,56.51,56.895,55.25,1646370000000,138908
21350920.0,55.8119,56.31,55.59,56.44,55.52,1646629200000,159508
23642377.0,54.8166,55.7,54.4,55.86,54.0701,1646715600000,190197
