v,vw,o,c,h,l,t,n
76694240.0,127.4989,125.978,130.804,131.203,124.5,1643000400000,261299
46960560.0,127.6604,128.74,126.935,129.399,126.5005,1643086800000,144722
49029500.0,130.1576,131.119,129.233,133.0,127.142,1643173200000,157806
32018780.0,130.5266,131.304,129.005,132.6523,128.9323,1643259600000,124746
34361480.0,131.4711,129.659,133.351,133.3565,128.485,1643346000000,123757
39986000.0,134.2838,134.162,135.3035,135.473,132.2095,1643605200000,145681
68525640.0,139.7018,137.5945,137.644,137.7928,134.3685,1643691600000,263412
123199220.0,148.5145,151.25,148.0,151.5466,145.5225,1643778000000,472215
71508420.0,145.9673,145.7055,143.09,149.675,142.6653,1643864400000,285469
57998220.0,143.0391,143.4446,143.293,144.875,140.515,1643950800000,215947
54973300.0,140.7629,144.25,139.201,144.25,138.9,1644210000000,206650
54283600.0,138.708,139.0265,139.399,140.0,137.0139,1644296400000,182224
40143880.0,141.2474,140.9635,141.592,142.5243,140.187,1644382800000,148118
39330660.0,139.3849,139.7035,138.62,141.4845,137.957,1644469200000,171567
39858340.0,135.7831,138.6,134.2825,139.1563,133.4,1644555600000,199155
34301080.0,135.1359,133.2565,135.526,136.3,133.2565,1644814800000,130001
26711260.0,136.7097,137.5705,136.6085,138.1085,135.8215,1644901200000,100139
25021300.0,136.6293,136.6465,137.738,138.086,134.9238,1644987600000,103758
38949500.0,134.095,136.243,132.539,137.1135,132.4785,1645074000000,161496
43597440.0,131.5313,133.467,130.403,134.07,130.1965,1645160400000,158081
44840740.0,130.0473,129.8381,129.8135,132.1803,128.2233,1645506000000,170077
32786020.0,129.0424,131.6485,127.588,132.051,127.5275,1645592400000,145602
54392380.0,129.2078,124.9533,132.691,133.0,124.9533,1645678800000,227050
36405980.0,133.8571,133.552,134.4595,135.2715,131.7515,1645765200000,136500
38864420.0,134.3192,133.05,135.057,135.7515,132.5923,1646024400000,124537
26345360.0,134.4926,134.8785,134.0615,136.2555,133.2185,1646110800000,110974
23369800.0,134.4789,134.628,134.5715,135.2625,133.0715,1646197200000,103434
24603240.0,134.5075,136.01,133.8995,136.4395,133.0255,1646283600000,107530
30450640.0,131.5716,132.9275,131.9065,133.8515,130.3375,1646370000000,131108
45112940.0,127.7911,131.488,126.3785,131.735,126.295,1646629200000,213009
40427100.0,127.934,126.25,127.1045,131.25,125.6747,1646715600000,158099
37025400.0,132.1835,131.25,133.42,133.7355,129.9005,1646802000000,132417
27101400.0,132.0069,131.266,132.4295,133.2718,130.9125,1646888400000,113022
31526440.0,131.3196,133.4885,129.8705,133.7955,129.6315,1646974800000,116520
38811260.0,126.9821,130.25,125.951,130.409,125.275,1647230400000,169621
30919520.0,128.3478,126.976,129.198,129.8545,125.7205,1647316800000,122172
35576980.0,131.8654,130.733,133.2805,133.333,128.7345,1647403200000,131832
28263920.0,133.3597,133.149,133.839,134.0804,132.185,1647489600000,104280
44466900.0,134.8343,133.4245,136.1255,136.244,132.2583,1647576000000,128817
26831680.0,135.7331,136.1635,136.1015,137.05,134.0923,1647835200000,110283
35495540.0,139.6064,136.1015,139.868,141.05,136.1015,1647921600000,126456
24253400.0,138.7597,138.7025,138.2755,139.5885,137.835,1648008000000,100972
26296560.0,140.3414,139.2,141.572,141.6188,137.7505,1648094400000,92646
24123080.0,141.278,141.916,141.673,142.035,139.7375,1648180800000,93037
34849260.0,141.1893,140.9005,141.4555,142.0025,139.8113,1648440000000,112885
34317020.0,142.8413,142.6475,142.5055,143.7935,142.0383,1648526400000,123693
19884760.0,142.1069,142.46,141.9385,142.7203,141.6,1648612800000,83578
37499220.0,140.002,142.053,139.0675,142.1078,139.0245,1648699200000,112935
25941440.0,139.7344,139.5,140.1505,140.4708,138.3075,1648785600000,90813
25970840.0,142.7501,140.3585,142.9715,143.712,140.3105,1649044800000,97491
