v,vw,o,c,h,l,t,n
156042440.0,140.4399,139.0,144.544,144.945,135.352,1643000400000,453072
90731780.0,140.2871,142.2425,139.986,143.6,138.145,1643086800000,273095
95595300.0,140.9595,144.75,138.8725,145.1848,137.3185,1643173200000,288707
77515800.0,141.2653,140.8,139.6375,144.2435,139.35,1643259600000,229025
74364980.0,141.1229,140.8605,143.978,143.998,137.9293,1643346000000,219508
78243440.0,147.9346,144.75,149.5735,150.3605,144.3005,1643605200000,235928
59188340.0,150.1769,150.0,151.1935,151.708,147.6277,1643691600000,194880
87028100.0,150.9222,155.0504,150.6125,155.075,148.8636,1643778000000,259401
225223760.0,145.183,141.7375,138.8455,144.2475,138.333,1643864400000,689522
253424860.0,156.8056,155.6065,157.6395,161.2,150.608,1643950800000,594972
102601180.0,159.8042,158.52,157.9355,162.6908,157.25,1644210000000,271384
76019000.0,159.3047,156.7505,161.4135,161.7925,155.5505,1644296400000,200679
68785600.0,161.6946,162.8735,161.1895,163.8345,160.25,1644382800000,192966
68238920.0,159.2708,158.35,159.0035,160.7165,157.75,1644469200000,184543
77100440.0,155.0777,158.1345,153.2935,159.0,152.7338,1644555600000,212986
83187500.0,155.6056,151.751,155.167,158.4483,151.65,1644814800000,226397
55470660.0,156.2902,157.6055,156.5105,158.007,154.6375,1644901200000,152636
52704280.0,157.1798,155.7905,158.1005,158.834,154.7345,1644987600000,142445
63332500.0,157.007,158.146,154.6525,160.3488,154.5,1645074000000,176531
62584100.0,152.8469,155.4995,152.6015,155.4995,150.893,1645160400000,181911
66115440.0,150.5366,150.4785,150.1975,152.9825,148.4855,1645506000000,207596
64243560.0,147.2916,151.6505,144.827,151.763,144.651,1645592400000,193208
100724460.0,146.6162,139.8375,151.358,151.749,139.5,1645678800000,293521
62395360.0,152.3709,150.55,153.7885,153.99,149.2135,1645765200000,170754
57683420.0,152.6971,152.425,153.563,154.45,150.85,1646024400000,163660
44873580.0,151.9461,152.7325,151.142,154.099,149.977,1646110800000,140282
47334720.0,151.4391,150.849,152.0525,152.9995,148.75,1646197200000,143143
65197200.0,149.3732,153.5315,147.8985,153.929,146.856,1646283600000,175602
60983120.0,145.3041,147.159,145.641,147.85,143.807,1646370000000,184545
86933860.0,139.862,145.4435,137.453,146.0945,137.4165,1646629200000,295196
91661580.0,136.7795,136.6835,136.0145,140.6995,133.5725,1646715600000,271653
82644660.0,141.0772,139.5,139.279,140.25,136.828,1646802000000,242960
135062900.0,146.5278,145.685,146.8175,148.6743,143.978,1646888400000,452547
68740560.0,147.3195,149.5745,145.5245,149.675,145.369,1646974800000,259320
74086100.0,143.4822,145.981,141.853,147.45,140.884,1647230400000,246459
75134600.0,146.0056,142.85,147.3665,147.985,142.0,1647316800000,210416
80955580.0,150.3555,148.5,153.104,153.15,147.3535,1647403200000,244051
72822140.0,155.3899,152.6405,157.239,157.4985,152.14,1647489600000,227124
101792760.0,159.3395,156.813,161.2505,161.594,156.011,1647576000000,224781
66537520.0,161.225,161.1208,161.4915,163.084,159.553,1647835200000,210045
64074720.0,164.7107,161.8055,164.889,166.167,161.699,1647921600000,204044
55781860.0,164.4133,163.705,163.408,166.37,162.687,1648008000000,188829
56798060.0,162.5456,163.7495,163.6495,164.1185,160.05,1648094400000,188188
48985500.0,164.0965,164.0,164.7735,165.3685,162.25,1648180800000,155205
59853820.0,167.4399,164.975,168.9905,169.0375,164.9,1648440000000,209975
66083600.0,169.3586,170.384,169.315,170.8315,167.8685,1648526400000,218950
56167260.0,166.8931,168.5095,166.301,168.9505,165.5,1648612800000,190980
59965780.0,164.545,166.4448,162.9975,166.495,162.9535,1648699200000,178393
57089500.0,163.8428,164.1495,163.56,165.827,162.3195,1648785600000,190030
49990560.0,166.8326,164.125,168.3465,168.3945,163.2055,1649044800000,182091
53208960.0,165.1017,167.7415,164.055,168.1105,163.266,1649131200000,200700
79055760.0,159.2449,161.6505,158.756,162.2,157.2545,1649217600000,288818
67986780.0,157.3107,158.4,157.7845,160.079,154.5115,1649304000000,206600
46001660.0,155.5507,156.75,154.4605,157.3685,154.2308,1649390400000,175210
52112340.0,151.9426,152.713,151.122,154.1365,150.5345,1649649600000,191267
55153440.0,152.6651,153.6925,150.7875,155.099,150.383,1649736000000,188356
53390880.0,153.6325,150.0185,155.541,156.025,149.6,1649822400000,157497
