v,vw,o,c,h,l,t,n
86025393.0,288.8074,292.2,296.37,297.11,276.05,1643000400000,1302281
72848368.0,288.3988,291.52,288.49,294.99,285.17,1643086800000,1113735
90428853.0,300.3828,307.985,296.71,308.5,293.03,1643173200000,1195374
53481317.0,302.4325,302.66,299.84,307.3,297.93,1643259600000,741935
49743698.0,302.7982,300.23,308.26,308.48,294.45,1643346000000,696183
46444536.0,309.4288,308.95,310.98,312.38,306.37,1643605200000,645244
40950396.0,307.3995,310.41,308.76,310.63,305.1293,1643691600000,598895
36635989.0,312.2137,309.63,313.46,315.12,308.88,1643778000000,513102
43729972.0,305.2465,309.49,301.25,311.23,299.96,1643864400000,585711
35093302.0,305.3962,300.21,305.94,308.8,299.97,1643950800000,509726
28533286.0,303.3434,306.17,300.95,307.84,299.9,1644210000000,426621
32314988.0,303.6698,301.25,304.56,305.561,299.95,1644296400000,423786
31280171.0,309.6261,309.865,311.21,311.93,307.39,1644382800000,444035
45386199.0,304.061,304.04,302.38,309.12,300.7,1644469200000,608483
39160620.0,298.1235,303.19,295.04,304.29,294.22,1644555600000,615557
36359487.0,294.405,293.77,295.0,296.76,291.35,1644814800000,539722
27370688.0,299.5681,300.008,300.47,300.8,297.02,1644901200000,400816
29970121.0,297.4874,298.365,299.5,300.87,293.68,1644987600000,415675
32461580.0,292.994,296.36,290.73,296.8,290.0,1645074000000,507106
34256508.0,289.1356,293.05,287.93,293.86,286.305,1645160400000,554368
41736117.0,287.6534,285.0,287.72,291.54,284.5,1645506000000,605791
37797167.0,284.2303,290.18,280.27,291.7,280.1,1645592400000,647355
56989686.0,285.4542,272.51,294.59,295.16,271.52,1645678800000,809370
32546721.0,295.6957,295.14,297.31,297.63,291.655,1645765200000,521051
34627457.0,296.5331,294.31,298.79,299.14,293.0,1646024400000,452982
31217778.0,295.8563,296.4,294.95,299.97,292.15,1646110800000,468639
31873007.0,298.8646,295.36,300.19,301.47,293.698,1646197200000,531573
27314469.0,297.4481,302.89,295.92,303.13,294.05,1646283600000,408448
32369655.0,289.9672,294.29,289.86,295.66,287.165,1646370000000,539374
43157178.0,281.6699,288.53,278.91,289.69,278.53,1646629200000,672964
48157675.0,276.5819,277.8,275.85,283.96,270.0,1646715600000,700050
35204480.0,286.2058,283.44,288.5,289.6,280.78,1646802000000,506108
30628012.0,283.9699,283.02,285.59,286.6,280.58,1646888400000,461547
27209330.0,283.7288,287.96,280.07,289.51,279.43,1646974800000,421226
30660747.0,279.6999,280.34,276.44,285.3992,275.82,1647230400000,435907
34245085.0,284.064,280.35,287.15,287.82,278.725,1647316800000,507324
37729529.0,290.7357,289.11,294.39,294.57,283.2,1647403200000,532827
30802133.0,293.1691,293.29,295.22,295.61,289.37,1647489600000,434753
43222225.0,297.9485,295.37,300.43,301.0,292.73,1647576000000,416437
28351245.0,297.8602,298.89,299.16,300.14,294.9,1647835200000,437234
27599689.0,303.1289,299.8,304.06,305.0,298.77,1647921600000,404197
25715377.0,300.5899,300.51,299.49,303.23,297.7201,1648008000000,359919
24484456.0,301.84,299.14,304.1,304.2,298.315,1648094400000,318259
22566453.0,302.5129,305.23,303.68,305.5,299.2855,1648180800000,340082
29553438.0,308.8785,304.33,310.7,310.8,304.33,1648440000000,368660
30393403.0,313.2741,313.91,315.41,315.82,309.05,1648526400000,423166
28163555.0,313.7134,313.76,313.86,315.95,311.58,1648612800000,340160
33422070.0,310.4193,313.9,308.31,315.14,307.89,1648699200000,355031
27101029.0,308.0485,309.37,309.42,310.13,305.54,1648785600000,315032
24335868.0,313.7554,310.09,314.97,315.11,309.71,1649044800000,300000
23156719.0,311.7992,313.27,310.88,314.865,309.87,1649131200000,312602
40110372.0,300.4693,305.19,299.5,307.0,296.71,1649217600000,548742
31411155.0,300.9241,296.66,301.37,303.65,296.35,1649304000000,360492
24361917.0,298.2833,300.44,296.97,301.12,296.28,1649390400000,309094
34519264.0,286.8651,291.79,285.26,292.61,285.0,1649649600000,502222
30966721.0,284.9687,289.235,282.06,290.739,280.49,1649736000000,435819
21904429.0,285.8202,282.73,287.62,288.58,281.3,1649822400000,290613
28221607.0,282.3705,288.09,279.83,288.305,279.32,1649908800000,381427
20748800.0,280.1829,278.91,280.52,282.46,278.34,1650254400000,299125
22297720.0,283.7503,279.38,285.3,286.17,278.41,1650340800000,312037
22901807.0,286.9915,289.4,286.36,289.7,285.3702,1650427200000,313844
29454587.0,285.5863,288.58,280.81,293.3,280.06,1650513600000,411095
29405798.0,277.0631,281.68,274.03,283.2,273.38,1650600000000,455519
35678852.0,276.9162,273.29,280.72,281.11,270.77,1650859200000,507837
46512195.0,273.1034,277.5,270.22,278.3599,270.0,1650945600000,703111
63468094.0,285.1692,282.1,283.22,290.97,279.16,1651032000000,823597
33646570.0,286.9376,285.185,289.63,290.98,281.4562,1651118400000,448000
37073923.0,281.5777,288.61,277.52,289.88,276.5,1651204800000,475254
35127105.0,280.8292,277.71,284.47,284.94,276.22,1651464000000,501418
25978605.0,281.9915,283.96,281.78,284.13,280.15,1651550400000,352891
33598320.0,284.0704,282.59,289.98,290.88,276.73,1651636800000,460201
43260386.0,277.791,285.54,277.35,286.35,274.34,1651723200000,593657
37776182.0,274.9419,274.805,274.73,279.25,271.27,1651809600000,536610
47725952.0,266.3383,270.06,264.58,272.36,263.32,1652068800000,649440
39336424.0,269.8717,271.69,269.5,273.75,265.07,1652155200000,526747
48975898.0,263.2184,265.68,260.55,271.36,259.3,1652241600000,633608
51033802.0,254.7634,257.69,255.35,259.88,250.02,1652328000000,715930
34918893.0,260.1715,257.35,261.12,263.04,255.35,1652414400000,452458
32539933.0,260.8411,259.955,261.5,265.82,255.78,1652673600000,402395
28828799.0,265.5584,266.11,266.82,268.33,262.46,1652760000000,346098
31355985.0,256.42,263.0,254.08,263.6,252.77,1652846400000,414290
32692286.0,254.4025,253.9,253.14,257.67,251.88,1652932800000,408722
39164899.0,251.557,257.24,252.56,258.54,246.44,1653019200000,518558
33175379.0,258.9217,255.49,260.65,261.5,253.43,1653278400000,386147
29043904.0,257.8803,257.89,259.62,261.33,253.5,1653364800000,357104
28547947.0,260.9506,258.14,262.52,264.58,257.125,1653451200000,340324
25002105.0,265.2818,262.27,265.9,267.11,261.4294,1653537600000,297969
26910824.0,271.6528,268.48,273.24,273.34,267.56,1653624000000,307860
37827695.0,272.0011,272.53,271.87,274.77,268.93,1653969600000,363100
25285874.0,273.3295,275.195,272.42,277.69,270.04,1654056000000,321548
44008205.0,269.0219,264.45,274.58,274.65,261.6,1654142400000,532530
28058958.0,270.3279,270.31,270.02,273.45,268.41,1654228800000,303810
22397042.0,270.0763,272.06,268.75,274.18,267.22,1654488000000,260013
22860677.0,270.6967,266.635,272.5,273.13,265.94,1654574400000,247047
17372341.0,271.1519,271.71,270.41,273.0,269.61,1654660800000,234208
